Order date,Product Brand,Product number,Customer ID,Order ID,Supermarket purchased from,Sales Volume, Sales Value
9/1/2016,Competitor A,701139,9442,R1234623,Supermarket South,1,$34.50 
9/1/2016,Competitor B,198485,54276,R1235251,Supermarket West,3,$34.20 
9/1/2016,Competitor B,768644,244012,R1235150,Supermarket West,1,$61.30 
9/1/2016,Competitor B,369239,300346,R1235378,Supermarket North-East,1,$39.80 
9/1/2016,Colgate-Palmolive,899488,436689,R1234583,Supermarket North,1,$37.20 
9/1/2016,Competitor A,993974,467435,R1234890,Supermarket West,1,$31.90 
9/1/2016,Competitor A,161747,477500,R1234928,Supermarket East,1,$7.70 
9/2/2016,Competitor A,812610,39778,R1235554,Supermarket West,1,$11.90 
9/2/2016,Competitor B,198485,39778,R1235554,Supermarket West,2,$22.80 
9/2/2016,Competitor B,269713,164181,R1235994,Supermarket South-West,1,$29.90 
9/2/2016,Colgate-Palmolive,604757,340949,R1235443,Supermarket South,2,$104.40 
9/2/2016,Competitor A,113733,467734,R1235683,Supermarket East,1,$31.80 
9/2/2016,Competitor A,256348,471777,R1235735,Supermarket West,1,$31.90 
9/2/2016,Competitor A,978820,477988,R1235837,Supermarket West,1,$36.90 
9/3/2016,Competitor B,198485,42576,R1236581,Supermarket South,2,$28.00 
9/3/2016,Competitor B,620967,42576,R1236581,Supermarket South,2,$130.00 
9/3/2016,Competitor A,105573,407878,R1236348,Supermarket South,1,$34.70 
9/3/2016,Competitor A,477783,454945,R1236477,Supermarket West,2,$53.80 
9/3/2016,Competitor B,115927,454945,R1236477,Supermarket West,2,$49.80 
9/3/2016,Competitor B,732190,454945,R1236477,Supermarket West,1,$61.30 
9/3/2016,Competitor B,776126,454945,R1236477,Supermarket West,2,$122.60 
9/3/2016,Colgate-Palmolive,588995,466652,R1236090,Supermarket North,1,$34.10 
9/3/2016,Colgate-Palmolive,604757,469656,R1236151,Supermarket South-West,3,$116.70 
9/4/2016,Colgate-Palmolive,330691,282618,R1236791,Supermarket North,1,$37.20 
9/4/2016,Competitor B,315236,282618,R1236791,Supermarket North,1,$37.00 
9/4/2016,Colgate-Palmolive,700442,435383,R1236897,Supermarket West,1,$35.90 
9/4/2016,Colgate-Palmolive,863562,442057,R1236966,Supermarket North,1,$34.70 
9/4/2016,Competitor A,249666,467286,R1237156,Supermarket West,1,$37.00 
9/4/2016,Colgate-Palmolive,863562,468356,R1237081,Supermarket North-East,1,$31.50 
9/4/2016,Competitor B,720906,470281,R1237390,Supermarket East,1,$40.90 
9/4/2016,Competitor A,137087,478410,R1237258,Supermarket West,1,$24.90 
9/5/2016,Colgate-Palmolive,669118,402,R1237552,Supermarket North,2,$78.60 
9/5/2016,Colgate-Palmolive,786865,5787,R1237684,Supermarket North,1,$57.00 
9/5/2016,Colgate-Palmolive,227633,5787,R1237684,Supermarket North,1,$55.00 
9/5/2016,Competitor B,732190,200082,R1238082,Supermarket South,1,$65.00 
9/5/2016,Competitor B,422968,272240,R1238188,Supermarket North,1,$37.00 
9/5/2016,Competitor A,166761,406216,R1237826,Supermarket West,1,$26.90 
9/5/2016,Competitor B,419762,448474,R1238223,Supermarket North-East,1,$33.60 
9/5/2016,Competitor A,397127,454945,R1237993,Supermarket West,6,$37.00 
9/5/2016,Competitor A,322245,454945,R1237993,Supermarket West,3,$80.70 
9/5/2016,Colgate-Palmolive,915953,470669,R1237798,Supermarket North,1,$51.70 
9/6/2016,Colgate-Palmolive,786865,11463,R1238344,Supermarket North,1,$51.70 
9/6/2016,Competitor B,714468,142162,R1238678,Supermarket West,1,$11.40 
9/6/2016,Colgate-Palmolive,330691,448188,R1238447,Supermarket North,1,$37.20 
9/6/2016,Competitor A,936450,454945,R1238598,Supermarket West,3,$83.70 
9/6/2016,Competitor A,164377,454945,R1238598,Supermarket West,1,$23.60 
9/6/2016,Competitor A,388827,454945,R1238598,Supermarket West,2,$55.80 
9/6/2016,Competitor A,770544,454945,R1238598,Supermarket West,1,$24.90 
9/6/2016,Competitor A,249666,454945,R1238598,Supermarket West,2,$74.00 
9/6/2016,Competitor A,166761,454945,R1238598,Supermarket South-West,5,$67.60 
9/6/2016,Competitor A,166761,454945,R1238598,Supermarket West,3,$80.70 
9/7/2016,Competitor A,701139,22871,R1238814,Supermarket South,1,$34.50 
9/7/2016,Competitor A,701139,306747,R1238955,Supermarket South,1,$34.50 
9/7/2016,Competitor A,789157,454945,R1238728,Supermarket West,3,$74.70 
9/7/2016,Competitor A,249666,454945,R1238728,Supermarket West,1,$37.00 
9/7/2016,Competitor A,397127,454945,R1238728,Supermarket West,5,$148.00 
9/7/2016,Competitor B,583164,479060,R1239144,Supermarket North-East,1,$31.40 
9/8/2016,Competitor B,640845,5160,R1239822,Supermarket North,1,$40.60 
9/8/2016,Colgate-Palmolive,506459,259108,R1239270,Supermarket West,1,$43.20 
9/8/2016,Competitor A,248817,300346,R1239469,Supermarket South,1,$37.90 
9/8/2016,Competitor A,477783,454945,R1239358,Supermarket West,1,$26.90 
9/8/2016,Competitor A,199788,454945,R1239358,Supermarket West,1,$26.90 
9/8/2016,Competitor B,653241,454945,R1239358,Supermarket West,1,$24.90 
